Campaign_ID,Platform,Budget,Impressions,Clicks,Engagement,Leads,Conversions,Revenue,Audience,Location,Campaign_Duration_Days,Objective,CTR,Conversion_Rate,CPC,ROI
CAMP_0051,LinkedIn,37459.08,74254,1594,3384,62,44,190774.72,45-54,Mumbai,23,Website Traffic,2.15,2.76,23.5,409.29
CAMP_0052,YouTube,95565.06,454877,7314,10252,221,159,586219.81,25-34,Mumbai,5,Brand Awareness,1.61,2.17,13.07,513.42
CAMP_0053,LinkedIn,90803.12,177557,2819,4442,173,146,192155.08,18-24,Coimbatore,29,Brand Awareness,1.59,5.18,32.21,111.62
CAMP_0054,YouTube,72802.09,336982,5746,10031,248,165,480034.62,18-24,Coimbatore,28,Website Traffic,1.71,2.87,12.67,559.37
CAMP_0055,Facebook,82723.83,526618,15647,23670,806,645,1531490.52,18-24,Chennai,13,Website Traffic,2.97,4.12,5.29,1751.33
CAMP_0056,LinkedIn,68396.53,138377,1795,2585,94,35,131661.89,55+,Hyderabad,9,Lead Generation,1.3,1.95,38.1,92.5
CAMP_0057,Google Ads,16930.3,47420,2081,2691,115,73,77437.45,55+,Hyderabad,19,Sales,4.39,3.51,8.14,357.39
CAMP_0058,Google Ads,77726.62,227925,11035,28657,872,706,1679295.03,25-34,Mumbai,27,Brand Awareness,4.84,6.4,7.04,2060.51
CAMP_0059,Google Ads,24968.24,74108,2758,4585,186,92,188213.12,45-54,Chennai,11,Sales,3.72,3.34,9.05,653.81
CAMP_0060,Instagram,35727.07,174194,5546,9231,350,150,211240.43,25-34,Delhi,23,Sales,3.18,2.7,6.44,491.26
CAMP_0061,Instagram,82827.25,418733,8319,12728,305,160,362191.17,35-44,Hyderabad,11,Website Traffic,1.99,1.92,9.96,337.29
CAMP_0062,Google Ads,55969.93,175968,10524,20634,820,612,2033113.57,18-24,Chennai,12,Sales,5.98,5.82,5.32,3532.51
CAMP_0063,YouTube,86694.37,456789,8907,18017,393,154,339114.22,18-24,Chennai,15,Lead Generation,1.95,1.73,9.73,291.16
CAMP_0064,Instagram,25238.36,151516,4304,6599,177,115,343622.72,18-24,Mumbai,17,Website Traffic,2.84,2.67,5.86,1261.51
CAMP_0065,Instagram,62738.95,353026,10360,22520,404,169,512766.7,25-34,Chennai,24,Sales,2.93,1.63,6.06,717.3
CAMP_0066,Facebook,12960.14,88313,2446,5765,122,69,207938.4,25-34,Coimbatore,7,Website Traffic,2.77,2.82,5.3,1504.45
CAMP_0067,Google Ads,66090.79,225625,13734,24696,855,712,1998096.12,18-24,Coimbatore,5,Lead Generation,6.09,5.18,4.81,2923.26
CAMP_0068,YouTube,77440.73,343415,8921,19062,402,180,237808.38,25-34,Bangalore,29,Lead Generation,2.6,2.02,8.68,207.08
CAMP_0069,Google Ads,60568.43,193181,12564,25174,581,213,359212.01,55+,Mumbai,29,Sales,6.5,1.7,4.82,493.07
CAMP_0070,LinkedIn,30291.99,72582,1831,2770,158,89,336441.49,55+,Delhi,10,Website Traffic,2.52,4.86,16.54,1010.66
CAMP_0071,YouTube,7977.55,39495,930,2202,24,15,40627.74,25-34,Bangalore,22,Sales,2.35,1.61,8.58,409.28
CAMP_0072,Google Ads,16347.64,55680,3140,7795,178,89,306326.85,18-24,Coimbatore,12,Sales,5.64,2.83,5.21,1773.83
CAMP_0073,Google Ads,64118.78,183909,9283,20776,592,368,1086215.55,25-34,Bangalore,15,Website Traffic,5.05,3.96,6.91,1594.07
CAMP_0074,YouTube,93769.92,466294,9045,15541,422,349,362710.44,25-34,Mumbai,5,Sales,1.94,3.86,10.37,286.81
CAMP_0075,Facebook,24620.77,176753,5429,14565,421,213,802236.72,25-34,Mumbai,24,Lead Generation,3.07,3.92,4.54,3158.37
CAMP_0076,Facebook,74827.48,523546,12022,23185,411,207,234234.39,35-44,Chennai,10,Website Traffic,2.3,1.72,6.22,213.03
CAMP_0077,YouTube,87312.85,362411,7924,12880,195,115,493974.06,55+,Hyderabad,11,Website Traffic,2.19,1.45,11.02,465.75
CAMP_0078,Google Ads,54483.81,152051,8334,15444,475,289,484178.15,45-54,Chennai,24,Website Traffic,5.48,3.47,6.54,788.66
CAMP_0079,Instagram,68580.25,395182,10988,25353,490,172,472081.88,45-54,Mumbai,23,Website Traffic,2.78,1.57,6.24,588.36
CAMP_0080,Google Ads,82426.46,287974,12842,32792,1097,722,815078.04,35-44,Coimbatore,14,Sales,4.46,5.62,6.42,888.85
CAMP_0081,YouTube,29764.14,137739,4207,7449,144,122,502854.3,25-34,Delhi,13,Sales,3.05,2.9,7.07,1589.46
CAMP_0082,Facebook,33205.09,203631,4268,6710,245,122,540189.76,35-44,Coimbatore,4,Lead Generation,2.1,2.86,7.78,1526.83
CAMP_0083,Instagram,5059.61,27906,882,1943,54,36,51359.51,35-44,Chennai,20,Brand Awareness,3.16,4.08,5.74,915.09
CAMP_0084,Google Ads,96493.94,326161,21887,58525,1711,603,1184793.43,18-24,Delhi,11,Brand Awareness,6.71,2.76,4.41,1127.84
CAMP_0085,Instagram,92166.76,498864,17484,26108,1459,952,911204.82,55+,Mumbai,4,Lead Generation,3.5,5.44,5.27,888.65
CAMP_0086,Instagram,77633.99,447895,13111,32579,610,350,1306576.52,45-54,Coimbatore,4,Brand Awareness,2.93,2.67,5.92,1583.0
CAMP_0087,Facebook,12512.22,77386,1702,3340,48,30,60638.15,25-34,Mumbai,5,Lead Generation,2.2,1.76,7.35,384.63
CAMP_0088,Facebook,47512.77,275851,7904,19596,283,176,531487.42,45-54,Delhi,18,Sales,2.87,2.23,6.01,1018.62
CAMP_0089,YouTube,14679.72,61566,679,1364,17,7,7288.31,45-54,Delhi,21,Website Traffic,1.1,1.03,21.62,-50.35
CAMP_0090,Instagram,6512.43,37701,1243,2242,45,33,114696.68,55+,Coimbatore,6,Website Traffic,3.3,2.65,5.24,1661.2
CAMP_0091,Google Ads,63537.38,155581,8611,19933,680,427,1198099.77,45-54,Mumbai,25,Sales,5.53,4.96,7.38,1785.66
CAMP_0092,Facebook,96278.79,624814,20865,55105,882,428,1502249.56,45-54,Bangalore,27,Website Traffic,3.34,2.05,4.61,1460.31
CAMP_0093,YouTube,90772.46,406970,6788,11624,231,189,707319.56,35-44,Mumbai,20,Website Traffic,1.67,2.78,13.37,679.22
CAMP_0094,Facebook,71191.71,478625,12621,24449,601,214,261352.7,55+,Delhi,22,Brand Awareness,2.64,1.7,5.64,267.11
CAMP_0095,YouTube,14180.86,67560,1530,2398,28,20,59622.63,18-24,Mumbai,27,Sales,2.26,1.31,9.27,320.44
CAMP_0096,Instagram,31045.58,173091,5744,8578,444,240,777551.65,25-34,Chennai,20,Brand Awareness,3.32,4.18,5.4,2404.55
CAMP_0097,Instagram,35405.39,179901,4366,10673,189,116,320181.75,45-54,Bangalore,12,Brand Awareness,2.43,2.66,8.11,804.33
CAMP_0098,Instagram,77499.26,395651,11185,17013,451,224,348694.94,25-34,Hyderabad,13,Website Traffic,2.83,2.0,6.93,349.93
CAMP_0099,Google Ads,81213.67,240698,16574,40926,1466,749,2819348.52,18-24,Chennai,19,Website Traffic,6.89,4.52,4.9,3371.52
CAMP_0100,Google Ads,41585.08,138984,8001,15096,457,163,732008.55,25-34,Hyderabad,28,Sales,5.76,2.04,5.2,1660.27
CAMP_0101,Google Ads,44698.98,159449,6143,17152,467,334,1466050.55,18-24,Coimbatore,26,Website Traffic,3.85,5.44,7.28,3179.83
CAMP_0102,Facebook,9228.36,59199,1921,2912,119,84,310724.94,35-44,Hyderabad,27,Website Traffic,3.24,4.37,4.8,3267.07
CAMP_0103,Instagram,32467.99,171875,3917,5283,261,177,425718.24,45-54,Mumbai,25,Sales,2.28,4.52,8.29,1211.19
CAMP_0104,Instagram,47872.09,255636,7728,10206,396,312,659655.92,18-24,Hyderabad,26,Website Traffic,3.02,4.04,6.19,1277.96
CAMP_0105,LinkedIn,16113.39,34550,685,1738,45,36,41283.54,25-34,Delhi,22,Brand Awareness,1.98,5.26,23.52,156.21
CAMP_0106,Google Ads,48060.41,162686,10903,20721,1280,804,1928499.08,45-54,Chennai,18,Sales,6.7,7.37,4.41,3912.66
CAMP_0107,Instagram,86051.7,460526,8535,10285,363,251,366905.51,35-44,Chennai,22,Website Traffic,1.85,2.94,10.08,326.38
CAMP_0108,YouTube,60225.5,272796,6462,16799,231,82,148879.61,45-54,Hyderabad,15,Lead Generation,2.37,1.27,9.32,147.2
CAMP_0109,Google Ads,12498.34,43259,2748,7153,97,75,308309.43,18-24,Chennai,4,Sales,6.35,2.73,4.55,2366.8
CAMP_0110,Google Ads,23208.78,69235,3426,8532,195,148,649230.46,35-44,Delhi,26,Sales,4.95,4.32,6.77,2697.35
CAMP_0111,Instagram,50081.71,290631,9452,15098,388,140,604073.74,25-34,Chennai,29,Lead Generation,3.25,1.48,5.3,1106.18
CAMP_0112,Google Ads,39341.28,131798,3267,5869,329,204,325600.42,35-44,Hyderabad,4,Website Traffic,2.48,6.24,12.04,727.63
CAMP_0113,LinkedIn,39079.07,87283,794,1899,45,36,149155.89,35-44,Bangalore,27,Website Traffic,0.91,4.53,49.22,281.68
CAMP_0114,YouTube,55280.41,290556,7319,14513,228,100,140941.91,55+,Bangalore,16,Sales,2.52,1.37,7.55,154.96
CAMP_0115,Facebook,60517.61,428630,10837,15672,584,307,837366.06,35-44,Coimbatore,6,Sales,2.53,2.83,5.58,1283.67
CAMP_0116,YouTube,80701.85,374547,7375,11715,302,156,501881.35,35-44,Chennai,19,Website Traffic,1.97,2.12,10.94,521.9
CAMP_0117,YouTube,37391.82,159033,3481,9594,155,82,210320.22,45-54,Hyderabad,15,Website Traffic,2.19,2.36,10.74,462.48
CAMP_0118,Google Ads,81519.3,239329,12296,17726,920,341,1475375.64,25-34,Chennai,6,Brand Awareness,5.14,2.77,6.63,1709.85
CAMP_0119,YouTube,37168.07,171820,3310,7817,154,75,157467.44,45-54,Mumbai,5,Sales,1.93,2.27,11.23,323.66
CAMP_0120,Facebook,10266.13,58568,1756,3450,93,46,128733.74,45-54,Delhi,14,Sales,3.0,2.62,5.85,1153.97
CAMP_0121,YouTube,57647.83,267673,4108,9850,162,127,148795.71,18-24,Chennai,24,Lead Generation,1.53,3.09,14.03,158.11
CAMP_0122,YouTube,60850.72,313948,7969,17992,180,95,376960.81,45-54,Chennai,25,Brand Awareness,2.54,1.19,7.64,519.48
CAMP_0123,Instagram,93781.32,523612,16061,30559,784,450,1074648.7,55+,Bangalore,10,Website Traffic,3.07,2.8,5.84,1045.91
CAMP_0124,Google Ads,73975.83,230824,10397,18364,873,472,1615144.17,55+,Delhi,4,Brand Awareness,4.5,4.54,7.12,2083.34
CAMP_0125,Google Ads,92188.4,307752,13452,32379,1123,461,1547154.85,18-24,Hyderabad,8,Website Traffic,4.37,3.43,6.85,1578.25
CAMP_0126,Instagram,91292.98,528478,17041,29260,657,555,1850673.26,25-34,Chennai,24,Website Traffic,3.22,3.26,5.36,1927.18
CAMP_0127,YouTube,62434.54,257723,5114,12583,202,154,419646.58,25-34,Bangalore,12,Brand Awareness,1.98,3.01,12.21,572.14
CAMP_0128,YouTube,55137.4,241497,3658,8369,106,66,125338.46,45-54,Coimbatore,14,Sales,1.51,1.8,15.07,127.32
CAMP_0129,Google Ads,57956.89,208557,10228,21727,671,395,1244384.46,45-54,Delhi,23,Website Traffic,4.9,3.86,5.67,2047.09
CAMP_0130,Instagram,97941.43,558286,15263,27322,815,550,2399347.18,45-54,Bangalore,12,Brand Awareness,2.73,3.6,6.42,2349.78
CAMP_0131,Instagram,78450.93,400747,15737,24048,1291,663,2587170.08,25-34,Bangalore,12,Lead Generation,3.93,4.21,4.99,3197.82
CAMP_0132,Google Ads,15095.26,46449,2615,6110,201,75,96867.42,35-44,Bangalore,25,Brand Awareness,5.63,2.87,5.77,541.71
CAMP_0133,Google Ads,78950.7,211537,14921,20086,1596,881,866441.16,55+,Chennai,5,Lead Generation,7.05,5.9,5.29,997.45
CAMP_0134,Instagram,21201.11,100281,2799,7705,186,157,423318.61,35-44,Chennai,22,Website Traffic,2.79,5.61,7.57,1896.68
CAMP_0135,LinkedIn,47498.3,113846,1942,5372,88,39,144026.44,35-44,Coimbatore,12,Brand Awareness,1.71,2.01,24.46,203.22
CAMP_0136,Instagram,24993.67,138804,4751,6691,319,196,397889.64,25-34,Mumbai,11,Brand Awareness,3.42,4.13,5.26,1491.96
CAMP_0137,Instagram,70510.39,407985,14475,19777,665,236,808172.04,35-44,Mumbai,22,Lead Generation,3.55,1.63,4.87,1046.17
CAMP_0138,Facebook,88344.42,603299,19085,35505,1115,458,1948751.78,18-24,Mumbai,21,Brand Awareness,3.16,2.4,4.63,2105.86
CAMP_0139,Instagram,32584.38,185941,4999,13707,139,89,227158.64,45-54,Delhi,16,Brand Awareness,2.69,1.78,6.52,597.14
CAMP_0140,LinkedIn,12791.02,30092,458,843,29,14,24905.65,18-24,Delhi,4,Website Traffic,1.52,3.06,27.93,94.71
CAMP_0141,LinkedIn,33356.84,75652,1275,2272,74,59,248031.77,55+,Coimbatore,7,Brand Awareness,1.69,4.63,26.16,643.57
CAMP_0142,Google Ads,68874.38,237382,16536,38458,1342,742,1929311.5,45-54,Delhi,22,Sales,6.97,4.49,4.17,2701.2
CAMP_0143,Instagram,36232.21,229848,6030,8960,227,103,243926.81,35-44,Mumbai,10,Lead Generation,2.62,1.71,6.01,573.23
CAMP_0144,Instagram,31420.66,177346,5137,9151,181,113,245447.49,55+,Mumbai,9,Brand Awareness,2.9,2.2,6.12,681.17
CAMP_0145,Instagram,22521.34,126696,4587,7642,259,194,470035.04,45-54,Bangalore,8,Lead Generation,3.62,4.23,4.91,1987.07
CAMP_0146,Google Ads,52264.06,167508,10335,22349,1151,414,1376619.67,35-44,Delhi,13,Lead Generation,6.17,4.01,5.06,2533.97
CAMP_0147,Facebook,31215.14,193448,5958,8701,286,172,423359.19,18-24,Chennai,14,Lead Generation,3.08,2.89,5.24,1256.26
CAMP_0148,Instagram,74445.98,400345,12997,27007,388,286,591220.92,45-54,Chennai,20,Brand Awareness,3.25,2.2,5.73,694.16
CAMP_0149,Google Ads,12279.13,41590,1849,4756,120,48,171700.59,35-44,Bangalore,21,Brand Awareness,4.45,2.6,6.64,1298.31
CAMP_0150,Google Ads,68083.14,205970,9920,20065,822,659,1074629.41,18-24,Bangalore,12,Lead Generation,4.82,6.64,6.86,1478.41
CAMP_0151,LinkedIn,27568.2,59025,1278,2931,105,51,82975.03,55+,Bangalore,27,Sales,2.17,3.99,21.57,200.98
CAMP_0152,Google Ads,51481.53,172442,10805,14267,803,350,1192508.78,55+,Chennai,27,Lead Generation,6.27,3.24,4.76,2216.38
CAMP_0153,Google Ads,32178.54,108402,4529,8688,458,295,1185942.34,55+,Mumbai,23,Sales,4.18,6.51,7.1,3585.51
CAMP_0154,Instagram,73663.02,485635,17972,24295,636,278,491603.81,55+,Bangalore,16,Lead Generation,3.7,1.55,4.1,567.37
CAMP_0155,LinkedIn,94804.17,231232,5143,11104,315,217,344606.83,25-34,Coimbatore,5,Website Traffic,2.22,4.22,18.43,263.49
CAMP_0156,Google Ads,92122.29,306929,17045,28119,894,532,1762569.82,45-54,Bangalore,20,Lead Generation,5.55,3.12,5.4,1813.29
CAMP_0157,Facebook,60425.49,407006,12271,20365,329,133,416940.25,45-54,Hyderabad,26,Lead Generation,3.01,1.08,4.92,590.01
CAMP_0158,YouTube,48947.98,219859,5458,7220,126,102,256031.06,25-34,Bangalore,17,Brand Awareness,2.48,1.87,8.97,423.07
CAMP_0159,Google Ads,82738.55,270187,12999,22051,951,653,813049.19,35-44,Chennai,8,Sales,4.81,5.02,6.36,882.67
CAMP_0160,Facebook,69916.0,458287,18213,36621,753,469,577070.52,35-44,Delhi,12,Website Traffic,3.97,2.58,3.84,725.38
CAMP_0161,Instagram,22438.59,119253,4656,9943,298,160,591748.87,55+,Bangalore,29,Sales,3.9,3.44,4.82,2537.19
CAMP_0162,Facebook,82987.33,516640,15830,20685,787,329,831175.34,18-24,Delhi,14,Website Traffic,3.06,2.08,5.24,901.57
CAMP_0163,Facebook,45744.02,307683,8562,19199,317,223,889475.98,35-44,Hyderabad,9,Lead Generation,2.78,2.6,5.34,1844.46
CAMP_0164,Facebook,22953.64,143248,4368,8658,135,102,302842.2,18-24,Coimbatore,19,Brand Awareness,3.05,2.34,5.25,1219.36
CAMP_0165,Google Ads,31770.75,104141,4119,8481,456,188,587961.97,45-54,Delhi,3,Brand Awareness,3.96,4.56,7.71,1750.64
CAMP_0166,YouTube,30415.07,148169,4278,10834,135,81,345311.1,18-24,Mumbai,28,Sales,2.89,1.89,7.11,1035.33
CAMP_0167,Instagram,54324.66,322330,12410,21687,953,565,843328.73,45-54,Bangalore,20,Brand Awareness,3.85,4.55,4.38,1452.39
CAMP_0168,Google Ads,27265.16,97000,6741,9966,282,148,422523.31,25-34,Hyderabad,28,Sales,6.95,2.2,4.04,1449.68
CAMP_0169,Google Ads,16738.82,49876,2758,5745,153,114,126460.08,25-34,Hyderabad,17,Sales,5.53,4.13,6.07,655.49
CAMP_0170,Facebook,16750.63,118448,3101,8410,113,45,98645.86,55+,Delhi,21,Website Traffic,2.62,1.45,5.4,488.91
CAMP_0171,Facebook,60411.24,391896,9641,19558,532,241,345390.26,35-44,Coimbatore,30,Sales,2.46,2.5,6.27,471.73
CAMP_0172,Google Ads,74802.13,249354,15723,39796,1065,374,589502.34,55+,Chennai,3,Website Traffic,6.31,2.38,4.76,688.08
CAMP_0173,Instagram,35545.64,208486,6056,14603,311,167,712298.59,45-54,Bangalore,7,Brand Awareness,2.9,2.76,5.87,1903.9
CAMP_0174,Google Ads,8291.82,27252,1448,2938,137,68,210695.08,55+,Hyderabad,17,Sales,5.31,4.7,5.73,2441.0
CAMP_0175,Facebook,17086.36,101345,3117,6970,185,145,596206.55,18-24,Coimbatore,5,Sales,3.08,4.65,5.48,3389.37
CAMP_0176,Google Ads,91895.98,305492,14808,27405,734,531,1325733.18,45-54,Mumbai,3,Lead Generation,4.85,3.59,6.21,1342.65
CAMP_0177,Facebook,51886.65,286963,9545,19558,321,126,384491.02,25-34,Hyderabad,10,Sales,3.33,1.32,5.44,641.02
CAMP_0178,Instagram,48089.42,311946,9950,20016,447,322,327003.96,35-44,Coimbatore,14,Sales,3.19,3.24,4.83,579.99
CAMP_0179,LinkedIn,8614.67,19728,259,605,16,11,28492.29,45-54,Chennai,29,Lead Generation,1.31,4.25,33.26,230.74
CAMP_0180,Google Ads,74220.52,253463,12259,22752,606,297,870389.4,45-54,Chennai,24,Lead Generation,4.84,2.42,6.05,1072.71
CAMP_0181,Instagram,55166.47,323197,12778,17373,780,279,267951.54,18-24,Hyderabad,27,Brand Awareness,3.95,2.18,4.32,385.71
CAMP_0182,Google Ads,24197.69,75839,3468,8538,276,112,419122.04,35-44,Hyderabad,21,Sales,4.57,3.23,6.98,1632.07
CAMP_0183,LinkedIn,15457.01,32863,687,1577,39,19,37306.93,25-34,Delhi,27,Brand Awareness,2.09,2.77,22.5,141.36
CAMP_0184,YouTube,41421.85,177280,3804,10348,139,105,265540.11,45-54,Bangalore,27,Brand Awareness,2.15,2.76,10.89,541.06
CAMP_0185,Google Ads,84530.39,280628,14958,28210,1376,802,2268271.76,45-54,Coimbatore,14,Lead Generation,5.33,5.36,5.65,2583.38
CAMP_0186,Facebook,87202.98,576717,23451,31076,1109,897,4011303.05,18-24,Hyderabad,15,Website Traffic,4.07,3.82,3.72,4499.96
CAMP_0187,YouTube,62270.41,295693,4774,6658,186,138,173474.68,55+,Bangalore,30,Brand Awareness,1.61,2.89,13.04,178.58
CAMP_0188,Facebook,74115.96,458861,11136,27142,465,230,666771.48,25-34,Delhi,3,Website Traffic,2.43,2.07,6.66,799.63
CAMP_0189,Instagram,15939.8,91482,2915,3814,98,76,213570.56,35-44,Bangalore,21,Sales,3.19,2.61,5.47,1239.86
CAMP_0190,Google Ads,60871.98,183790,14504,38472,1042,426,489079.91,45-54,Hyderabad,8,Lead Generation,7.89,2.94,4.2,703.46
CAMP_0191,Google Ads,68361.74,201995,11068,18269,570,210,668257.4,45-54,Chennai,10,Sales,5.48,1.9,6.18,877.53
CAMP_0192,YouTube,24067.72,106972,2357,6218,130,85,164277.46,25-34,Coimbatore,6,Sales,2.2,3.61,10.21,582.56
CAMP_0193,LinkedIn,88614.7,193246,3268,7966,264,138,175751.93,55+,Coimbatore,7,Lead Generation,1.69,4.22,27.12,98.33
